"Column","Mean","Median","Mode","Std_Dev","Variance","Q1","Q2","Q3","IQR","Min","Max","Range","Skewness","Kurtosis"
"Close",1699.01861942781,1653.84,480.36,1296.92646779667,1682018.26287154,355.2425,1653.84,2722.07,2366.8275,84.31,4831.35,4747.04,0.361179184117222,-1.04383560076651
"High",1744.36771789754,1687.235,229.86,1330.81345837104,1771064.46098148,367.365,1687.235,2797.7425,2430.3775,85.34,4953.73,4868.39,0.360418076280504,-1.04754103924882
"Low",1648.29871922821,1622.91,429.51,1260.40007495877,1588608.34895606,348.135,1622.91,2622.1925,2274.0575,82.83,4718.04,4635.21,0.364618556149505,-1.03741322494742
"Open",1698.45240518962,1652.965,360.31,1297.29981162222,1682986.80123505,354.1575,1652.965,2721.9275,2367.77,84.28,4831.09,4746.81,0.362812774737255,-1.04221419443775
"Volume",15005101859.6856,12166684523,893249984,12292076322.3207,1.51095140313757e+20,6326656530.25,12166684523,20043340382,13716683851.75,621732992,97736621123,97114888131,1.64902228032813,3.87212939148502
"Daily_Return_Pct",0.169533044925125,0.0632,0.4442,4.49030928553144,20.1628774797299,-1.88,0.0632,2.1622,4.0422,-42.3462,26.4569,68.8031,-0.101268861605102,6.17406267462622
"Log_Return",0.000675794342762063,0.000632,0.004432,0.0453622612439835,0.00205773474516741,-0.018979,0.000632,0.021392,0.040371,-0.550714,0.234731,0.785445,-0.782489205829283,10.6376135161768
"Price_Range",96.068998669328,62.985,20.08,106.183376596902,11274.9094655195,18.375,62.985,138.685,120.31,1.22,1485.48,1484.26,2.7534936020746,16.6474698243043
"Body_Size",49.1794078509647,21.235,3.34,70.202074674241,4928.33128856771,5.8525,21.235,65.0025,59.15,0,921.98,921.98,3.18335297368826,17.2532716240437
"Upper_Shadow",21.04250166334,9.675,0,30.059174584498,903.553976701328,2.09,9.675,28.2275,26.1375,0,321.22,321.22,3.01721346304021,13.9406124283156
"Lower_Shadow",25.8470891550233,10.855,0,42.5217321726796,1808.09770696509,2.5525,10.855,32.92,30.3675,0,708.8,708.8,5.15566606531349,48.7920811353457
"MA_7",1699.36801,1657.055,206.36,1293.9690909581,1674356.00835492,356.9625,1657.055,2692.44,2335.4775,87.4,4694.09,4606.69,0.350211456861435,-1.06605440261439
"MA_14",1699.54320748413,1646.15,398.2,1290.7956414988,1666153.3881123,363.59,1646.15,2715.4,2351.81,91.55,4626.7,4535.15,0.340081734923245,-1.08346321076743
"MA_21",1699.46003014066,1653.72,500.95,1287.52419837289,1657718.56139574,362.5025,1653.72,2749.335,2386.8325,98.2,4519.91,4421.71,0.330695326351478,-1.09713380102042
"MA_50",1698.5698275279,1660.7,214.09,1273.94150759372,1622926.96477017,368.06,1660.7,2812.57,2444.51,118.23,4407.52,4289.29,0.291065753660109,-1.15262640800619
"MA_100",1694.28652218782,1712.16,212.8,1250.89058006492,1564727.24329516,335.63,1712.16,2768.53,2432.9,120.96,4198.25,4077.29,0.211478624670785,-1.27439536969022
"MA_200",1673.82215532597,1777.46,172.46,1192.47433702322,1421995.04445897,313.945,1777.46,2815.695,2501.75,143.35,3671.87,3528.52,0.0484072871820564,-1.46913562989411
"EMA_12",1694.36372255489,1645.08,597.02,1289.31733174939,1662339.18194937,357.3525,1645.08,2735.7275,2378.375,92.6,4597.79,4505.19,0.340179667553739,-1.09121629744655
"EMA_26",1687.9898003992,1645.415,548.5,1279.71621750358,1637673.59734166,360.595,1645.415,2795.515,2434.92,107.81,4444.1,4336.29,0.318057404816953,-1.13621640160758
"MACD",6.37392215568862,0.51,8.58,95.1564455830114,9054.74913599261,-31.5225,0.51,37.2775,68.8,-323.65,454.41,778.06,0.4879286284633,2.21933794321349
"Signal_Line",6.44238436460413,0.4659,57.8646,90.030926096218,8105.56765374267,-28.304675,0.4659,35.323875,63.62855,-288.6897,391.7199,680.4096,0.433701813435948,1.88870152516743
"MACD_Histogram",-0.0684622089155023,0.4449,1.9517,27.4921738201925,755.819621359676,-8.7649,0.4449,9.022875,17.787775,-227.9974,104.3579,332.3553,-0.735696764704291,7.07620812377798
"RSI_14",51.3898529411765,50.085,45.54,13.6316143470813,185.820909707554,41.7075,50.085,60.56,18.8525,15.69,90.33,74.64,0.266464906365191,-0.221777178331819
"BB_Mid",1699.4850251088,1649.79,460.78,1287.99136793928,1658921.76388609,362.51,1649.79,2741.02,2378.51,97.27,4531.54,4434.27,0.331998304421672,-1.09535144159654
"BB_Std",114.222584532976,89.42,9.23,105.960418156767,11227.6102159569,26.45,89.42,171.79,145.34,2.5,670.95,668.45,1.39291628812621,2.59658736795592
"BB_Upper",1927.93019417476,1879.22,748.21,1449.95740261375,2102376.4693944,417.455,1879.22,3196.11,2778.655,118.07,5022.1,4904.03,0.321816015718407,-1.13694516296724
"BB_Lower",1471.03985604285,1486.98,178.26,1142.49198688894,1305287.94010544,305.505,1486.98,2358.515,2053.01,64.66,4191.68,4127.02,0.394669214190753,-0.972030221942502
"BB_Width",456.890338131905,357.68,36.92,423.841672627068,179641.763455311,105.8,357.68,687.16,581.36,10,2683.8,2673.8,1.39291628812621,2.59658736795592
"Volume_MA_20",15004914415.8015,13798758959,1118925837,10754981715.282,1.1566963169605e+20,6714600023,13798758959,20091062559,13376462536,1118925837,54730579179,53611653342,1.0629477526216,0.966091104714616
"Volume_Change_Pct",5.01456572379368,-0.52,-10.41,35.0808684111646,1230.66732848145,-14.68,-0.52,17.04,31.72,-72.69,282.7,355.39,2.05661820040539,8.70936774669059
"Volatility_30d",4.17059022177419,3.97345,4.5913,1.61359289557202,2.60368203264049,3.0752,3.97345,4.9571,1.8819,0.8059,11.023,10.2171,1.24863091503596,2.43258036140103
"Cumulative_Max",3333.08767797738,4812.09,4812.09,1665.00229457383,2772232.6409361,1396.42,4812.09,4812.09,3415.67,320.88,4831.35,4510.47,-0.321016549232452,-1.82764227656429
"Drawdown_Pct",-54.2764705588822,-59.75315,0,26.4023431997185,697.083726435722,-75.575925,-59.75315,-34.8139,40.762025,-93.9624,0,93.9624,0.392926969455721,-0.902337307360406
